,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,is_active,infinite_supply,cmc_rank,is_fiat,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,category,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
29,7533,Oraichain,ORAI,oraichain-token,53,2020-10-27T00:00:00.000Z,"['cosmos-ecosystem', 'ai-big-data', 'defi', 'oracles', 'research', 'injective-ecosystem', 'bnb-chain', 'generative-ai', 'real-world-assets', 'layer-1', 'dwf-labs-portfolio']",19779272.0,12706080.0,16779272.0,,1,False,340.0,0,15845457.0,183161605.11925557,,2024-04-14T23:33:00.000Z,11.559250397085775,5916247.07043312,-17.9758,1.30647475,3.96162402,-20.00628656,-32.64225772,55.50526434,77.59378176,146872760.2854036,0.0,228633557.72,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x4c11249814f11b9346808179cf06e71ac328c1b5
30,28846,Sleepless AI,AI,sleepless-ai,92,2023-12-26T12:37:44.000Z,"['ai-big-data', 'binance-smart-chain', 'binance-launchpool', 'web3', 'generative-ai']",1000000000.0,140937500.0,1000000000.0,,1,False,346.0,0,130000000.0,129905265.28700732,,2024-04-14T23:34:00.000Z,0.9992712714385178,56655256.24373493,-4.3723,0.31791858,15.38071502,-34.69955374,-46.17198759,-39.18024104,-29.90736235,140834794.8183661,0.0059,999271271.44,,2024-04-14T23:34:00.000Z,AI & Big Data,1839.0,BNB Smart Chain (BEP20),BNB,bnb,0xBDA011D7F8EC00F66C1923B049B94c67d148d8b2
31,5113,inSure DeFi,SURE,insure,43,2020-01-07T00:00:00.000Z,"['ai-big-data', 'collectibles-nfts', 'defi', 'dao', 'insurance', 'avalanche-ecosystem', 'metaverse', 'bnb-chain']",88000000000.0,26790063174.642704,88000000000.0,,1,False,353.0,0,,,,2024-04-14T23:33:00.000Z,0.005175239881099898,417604.75491661,48.0432,0.01034743,28.4961205,-15.21133964,-27.60503655,10.05236693,7.68246801,138645003.35859665,0.0,455421109.54,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e
32,14822,Victoria VR,VR,victoria-vr,25,2021-11-19T05:45:39.000Z,"['vr-ar', 'ai-big-data', 'collectibles-nfts', 'gaming', 'ethereum-ecosystem', 'metaverse', 'play-to-earn']",16800000000.0,5336247367.954846,16800000000.0,,1,False,355.0,0,,,,2024-04-14T23:34:00.000Z,0.025932084639681805,1476075.61435489,-4.0433,0.21861248,12.80081387,-11.11976299,-35.54380326,-50.85609137,7.19334905,138380018.40408432,0.0,435659021.95,,2024-04-14T23:34:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x7d5121505149065b562c789a0145ed750e6e8cdd
33,22764,Hooked Protocol,HOOK,hooked-protocol,96,2022-12-01T14:40:31.000Z,"['education', 'ai-big-data', 'gaming', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'metaverse', 'bnb-chain']",,139254295.07927233,500000000.0,,1,False,370.0,0,145000000.0,134035337.36079681,,2024-04-14T23:34:00.000Z,0.9243816369710125,16637399.52115763,-26.8181,0.89167019,8.94562725,-33.23685809,-39.19334118,-3.75331778,-3.55022537,128724113.24062216,0.0054,462190818.49,,2024-04-14T23:34:00.000Z,AI & Big Data,1839.0,BNB Smart Chain (BEP20),BNB,bnb,0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0
34,29513,Node AI,GPU,node-ai,16,2024-02-23T07:23:55.000Z,"['ai-big-data', 'distributed-computing', 'masternodes', 'ethereum-ecosystem', 'telegram-bot', 'depin']",100000000.0,90264133.0,99809763.0,,1,False,371.0,0,89036090.0,127310948.26748055,,2024-04-14T23:33:00.000Z,1.429880268411164,4404505.99120339,-49.1774,3.81723705,10.21828531,-44.92820578,31.33976084,2049.09258557,2049.09258557,129066902.72194101,0.0,142988026.84,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870
35,9260,Zignaly,ZIG,zigcoin,58,2021-04-16T00:00:00.000Z,"['asset-management', 'marketplace', 'platform', 'ai-big-data', 'dwf-labs-portfolio']",,1433308739.46,2000000000.0,,1,False,387.0,0,,,,2024-04-14T23:33:00.000Z,0.08305878201157196,6892933.94377735,-11.3065,2.44861764,1.76692646,-9.48342064,-25.59847374,39.81243317,110.93585009,119048878.14608914,0.0,166117564.02,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0xb2617246d0c6c0087f18703d576831899ca94f01
36,5908,dKargo,DKA,dkargo,22,2020-07-27T00:00:00.000Z,['ai-big-data'],5000000000.0,3716250000.0,5000000000.0,,1,False,395.0,0,3716250000.0,116715296.72035801,,2024-04-14T23:33:00.000Z,0.031406739783480124,5432590.70332893,-48.8527,-8.13948118,-7.31568057,-13.55204281,-31.99265874,-1.06270984,-8.16388952,116715296.72035801,0.0049,157033698.92,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x5dc60C4D5e75D22588FA17fFEB90A63E535efCE0
37,19055,Solidus Ai Tech,AITECH,solidus-ai-tech,58,2022-03-24T17:28:30.000Z,"['ai-big-data', 'binance-chain', 'seedify']",2000000000.0,545911104.0,1999998418.0,,1,False,393.0,0,545911104.0,116101223.67070486,,2024-04-14T23:34:00.000Z,0.21267422996163282,12096229.7515255,-1.3972,1.2775199,3.69749443,-7.78500115,-43.56850346,225.29578722,265.2054631,116101223.67070486,0.0,425348459.92,,2024-04-14T23:34:00.000Z,AI & Big Data,1839.0,BNB Smart Chain (BEP20),BNB,bnb,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944
38,8258,CUDOS,CUDOS,cudos,29,2021-01-13T00:00:00.000Z,"['cosmos-ecosystem', 'vr-ar', 'ai-big-data', 'distributed-computing', 'gaming', 'scaling', 'video', 'algorand-ecosystem', 'metaverse', 'exnetwork-capital-portfolio', 'animoca-brands-portfolio', 'osmosis-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'depin']",10000000000.0,5843157716.765227,8652956008.0,,1,False,399.0,0,3308104323.0,64438254.64721263,,2024-04-14T23:34:00.000Z,0.019478906453825467,1114883.12581674,-18.3687,1.58766653,9.05304536,-7.96364494,-29.01420015,14.60474049,74.71329074,113818322.55981827,0.0,194789064.54,,2024-04-14T23:34:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x817bbDbC3e8A1204f3691d14bB44992841e3dB35
